Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,4.35,4.39,4.32,4.39,3084400,4.39
2017-01-25,4.34,4.35,4.33,4.35,215600,4.35
2017-01-24,4.34,4.39,4.34,4.35,356700,4.35
2017-01-23,4.39,4.39,4.35,4.35,116000,4.35
2017-01-20,4.40,4.42,4.37,4.40,648600,4.40
2017-01-19,4.40,4.41,4.38,4.41,86800,4.41
2017-01-18,4.41,4.43,4.39,4.40,836900,4.40
2017-01-17,4.38,4.41,4.37,4.39,370500,4.39
2017-01-16,4.39,4.39,4.37,4.38,53400,4.38
2017-01-13,4.36,4.39,4.35,4.39,26100,4.39
2017-01-12,4.36,4.43,4.36,4.39,679600,4.39
2017-01-11,4.31,4.35,4.30,4.35,172700,4.35
2017-01-10,4.30,4.32,4.30,4.31,191500,4.31
2017-01-09,4.35,4.35,4.30,4.30,472100,4.30
2017-01-06,4.30,4.34,4.30,4.34,160100,4.34
2017-01-05,4.30,4.32,4.30,4.30,74400,4.30
2017-01-04,4.32,4.32,4.29,4.30,157300,4.30
2017-01-03,4.36,4.36,4.29,4.30,786300,4.30
2017-01-02,4.36,4.36,4.36,4.36,000,4.36
2016-12-30,4.37,4.37,4.34,4.36,18600,4.36
2016-12-29,4.37,4.38,4.36,4.37,120200,4.37
2016-12-28,4.33,4.39,4.33,4.38,259000,4.38
2016-12-27,4.31,4.35,4.31,4.34,73200,4.34
2016-12-26,4.34,4.34,4.34,4.34,000,4.34
2016-12-23,4.34,4.36,4.34,4.34,43700,4.34
2016-12-22,4.34,4.36,4.29,4.32,450500,4.32
2016-12-21,4.32,4.35,4.32,4.34,131700,4.34
2016-12-20,4.32,4.35,4.32,4.32,49400,4.32
2016-12-19,4.33,4.33,4.31,4.32,289300,4.32
2016-12-16,4.39,4.39,4.33,4.33,302400,4.33
2016-12-15,4.32,4.40,4.32,4.39,320400,4.39
2016-12-14,4.34,4.40,4.33,4.35,287900,4.35
2016-12-13,4.40,4.41,4.34,4.34,609000,4.34
2016-12-12,4.40,4.40,4.40,4.40,000,4.40
2016-12-09,4.40,4.41,4.39,4.40,906400,4.40
2016-12-08,4.38,4.42,4.36,4.40,897500,4.40
2016-12-07,4.35,4.40,4.33,4.39,97100,4.39
2016-12-06,4.38,4.39,4.33,4.38,361900,4.38
2016-12-05,4.37,4.38,4.35,4.38,90300,4.38
2016-12-02,4.38,4.38,4.34,4.38,133800,4.38
2016-12-01,4.43,4.43,4.33,4.38,97200,4.38
2016-11-30,4.30,4.45,4.28,4.45,376000,4.45
2016-11-29,4.33,4.33,4.29,4.30,65500,4.30
2016-11-28,4.37,4.37,4.31,4.33,44000,4.33
2016-11-25,4.40,4.40,4.37,4.37,330600,4.37
2016-11-24,4.41,4.41,4.39,4.40,967500,4.40
2016-11-23,4.40,4.43,4.39,4.43,456600,4.43
2016-11-22,4.40,4.44,4.39,4.40,807500,4.40
2016-11-21,4.49,4.49,4.40,4.40,250600,4.40
2016-11-18,4.40,4.42,4.38,4.40,619900,4.40
2016-11-17,4.40,4.40,4.39,4.40,660300,4.40
2016-11-16,4.41,4.43,4.38,4.40,382100,4.40
2016-11-15,4.42,4.42,4.40,4.41,13000,4.41
2016-11-14,4.45,4.45,4.39,4.40,16200,4.40
2016-11-11,4.41,4.45,4.39,4.42,46200,4.42
2016-11-10,4.45,4.50,4.45,4.45,418800,4.45
2016-11-09,4.43,4.46,4.30,4.45,424900,4.45
2016-11-08,4.41,4.46,4.40,4.45,53500,4.45
2016-11-07,4.41,4.41,4.40,4.41,17100,4.41
2016-11-04,4.42,4.42,4.40,4.40,139000,4.40
2016-11-03,4.44,4.44,4.42,4.42,41400,4.42
2016-11-02,4.46,4.48,4.43,4.48,246000,4.48
2016-11-01,4.42,4.50,4.42,4.46,473700,4.46
2016-10-31,4.42,4.43,4.41,4.42,17600,4.42
2016-10-28,4.50,4.50,4.50,4.50,7700,4.50
2016-10-27,4.45,4.45,4.44,4.44,63700,4.44
2016-10-26,4.49,4.49,4.44,4.45,23100,4.45
2016-10-25,4.49,4.49,4.49,4.49,3000,4.49
2016-10-24,4.40,4.52,4.40,4.52,159100,4.52
2016-10-21,4.50,4.50,4.40,4.40,98800,4.40
2016-10-20,4.52,4.52,4.52,4.52,000,4.52
2016-10-19,4.50,4.52,4.49,4.52,345400,4.52
2016-10-18,4.50,4.50,4.46,4.49,40400,4.49
2016-10-17,4.44,4.49,4.44,4.49,15500,4.49
2016-10-14,4.50,4.50,4.49,4.50,51000,4.50
2016-10-13,4.50,4.50,4.45,4.50,120400,4.50
2016-10-12,4.45,4.50,4.45,4.49,46900,4.49
2016-10-11,4.46,4.50,4.46,4.50,481700,4.50
2016-10-10,4.46,4.48,4.46,4.46,45700,4.46
2016-10-07,4.48,4.48,4.45,4.46,205000,4.46
2016-10-06,4.45,4.50,4.44,4.50,502000,4.50
2016-10-05,4.46,4.46,4.44,4.45,262000,4.45
2016-10-04,4.42,4.46,4.42,4.46,866800,4.46
2016-10-03,4.43,4.43,4.43,4.43,000,4.43
2016-09-30,4.43,4.45,4.42,4.43,404200,4.43
2016-09-29,4.41,4.44,4.41,4.44,196300,4.44
2016-09-28,4.40,4.44,4.40,4.42,455100,4.42
2016-09-27,4.34,4.42,4.34,4.40,350600,4.40
2016-09-26,4.41,4.43,4.40,4.40,146600,4.40
2016-09-23,4.36,4.42,4.36,4.41,110600,4.41
2016-09-22,4.36,4.41,4.36,4.36,567700,4.36
2016-09-21,4.24,4.37,4.24,4.37,34300,4.37
2016-09-20,4.28,4.35,4.28,4.35,130900,4.35
2016-09-19,4.40,4.40,4.29,4.33,96300,4.33
2016-09-16,4.40,4.40,4.40,4.40,000,4.40
2016-09-15,4.25,4.40,4.17,4.40,1283200,4.40
2016-09-14,4.28,4.28,4.26,4.26,48400,4.26
2016-09-13,4.33,4.36,4.33,4.35,269200,4.35
2016-09-12,4.34,4.34,4.34,4.34,000,4.34
2016-09-09,4.34,4.34,4.33,4.34,629600,4.34
2016-09-08,4.35,4.35,4.35,4.35,896900,4.35
2016-09-07,4.32,4.38,4.32,4.35,692800,4.35
2016-09-06,4.32,4.33,4.31,4.33,392000,4.33
2016-09-05,4.29,4.31,4.28,4.31,211400,4.31
2016-09-02,4.35,4.35,4.28,4.30,64100,4.30
2016-09-01,4.34,4.37,4.33,4.34,133600,4.34
2016-08-31,4.43,4.43,4.43,4.43,000,4.43
2016-08-30,4.35,4.43,4.33,4.43,473800,4.43
2016-08-29,4.39,4.40,4.37,4.40,256500,4.3575
2016-08-26,4.39,4.39,4.37,4.39,261500,4.3476
2016-08-25,4.38,4.40,4.38,4.39,185600,4.3476
2016-08-24,4.42,4.42,4.38,4.38,428500,4.33769
2016-08-23,4.41,4.41,4.40,4.40,57000,4.3575
2016-08-22,4.39,4.42,4.38,4.42,108700,4.37731
2016-08-19,4.39,4.40,4.39,4.40,729700,4.3575
2016-08-18,4.44,4.44,4.39,4.39,649300,4.3476
2016-08-17,4.39,4.45,4.39,4.44,34400,4.39711
2016-08-16,4.41,4.43,4.39,4.40,433000,4.3575
2016-08-15,4.38,4.41,4.38,4.41,26800,4.3674
2016-08-12,4.41,4.45,4.39,4.41,139200,4.3674
2016-08-11,4.41,4.43,4.41,4.42,615100,4.37731
2016-08-10,4.42,4.43,4.41,4.42,535500,4.37731
2016-08-09,4.42,4.46,4.42,4.46,435200,4.41692
2016-08-08,4.41,4.42,4.40,4.42,619900,4.37731
2016-08-05,4.42,4.42,4.40,4.42,45100,4.37731
2016-08-04,4.40,4.42,4.40,4.42,253500,4.37731
